cve_estado,estado,anio,tasa_hom_doloso,tasa_secuestro,tasa_feminicidio,tasa_extorsion,fuente
10,DURANGO,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2015,13.6196,0.404,0.1154,3.7512,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2016,13.4644,0.7987,0.1141,2.9097,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2017,12.1846,1.1282,0.5077,4.1179,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2018,10.1522,0.4463,0.2231,4.1836,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2019,9.3784,0.0552,0.6068,6.289,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2020,9.8218,0.0546,0.7094,5.5111,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2021,8.5285,0.0,0.5398,5.2358,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2022,6.9422,0.0534,0.9612,3.5245,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2023,4.8083,0.0,0.5284,2.1135,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
10,DURANGO,2024,3.6078,0.0,0.5752,1.83,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2015,16.4245,0.1888,0.3604,0.1716,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2016,18.5929,0.1357,0.2375,0.0679,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2017,23.8648,0.2851,0.2012,0.0671,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2018,54.5531,0.0995,0.3482,0.2487,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2019,58.0435,0.5739,0.2951,0.3279,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2020,72.8077,0.373,0.3243,0.3081,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2021,56.3914,0.1925,0.5453,5.9824,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2022,51.721,0.238,0.3332,10.5981,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2023,48.72,0.0942,0.4395,15.5075,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
11,GUANAJUATO,2024,48.935,0.1864,0.2485,18.9776,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2015,58.1864,3.1749,0.0289,4.3293,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2016,63.5934,3.0748,0.6035,5.7185,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2017,72.158,2.2603,0.6008,5.1214,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2018,70.3643,1.8517,0.9971,6.2388,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2019,53.2691,1.2764,0.5106,8.1974,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2020,40.5006,0.6778,0.3954,7.202,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2021,38.7246,0.4218,0.5062,6.3838,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2022,38.0838,0.5321,0.364,7.8688,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2023,47.0685,0.6971,0.4461,4.4336,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
12,GUERRERO,2024,48.2583,0.3332,0.6386,4.1095,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2015,5.4977,1.0439,0.0,1.4614,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2016,5.3503,0.8231,0.7545,2.7781,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2017,7.2359,0.8115,0.7439,4.5309,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2018,7.6685,0.7335,0.6668,4.8345,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2019,11.5749,1.118,0.6577,7.2014,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2020,10.8666,0.9407,0.6163,4.3791,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2021,8.9611,0.9921,0.7041,3.4564,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2022,10.4219,0.5053,0.6,7.3269,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2023,8.0108,0.6234,0.6234,11.3771,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
13,HIDALGO,2024,8.1232,0.6154,0.6154,9.5693,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
14,JALISCO,2010,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
14,JALISCO,2011,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
14,JALISCO,2012,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
14,JALISCO,2013,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
14,JALISCO,2014,0.0,0.0,0.0,0.0,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
14,JALISCO,2015,13.7335,0.2548,0.8281,11.1346,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
14,JALISCO,2016,15.5488,0.2139,0.6164,8.806,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
14,JALISCO,2017,19.3194,0.1739,0.3479,7.1066,SESNSP víctimas fuero común (datos.gob.mx vía incidencia-delictiva)
