cve_estado,estado,anio,pobreza_pct,pobreza_ext_pct,carencias_pct,gini,fuente
16,MICHOACAN,2010,54.7282,13.4958,83.3739,,CONEVAL anexos estatales
16,MICHOACAN,2011,54.5474,13.9705,84.2073,,CONEVAL anexos estatales
16,MICHOACAN,2012,54.3666,14.4451,85.0408,,CONEVAL anexos estatales
16,MICHOACAN,2013,56.807,14.2423,84.6386,,CONEVAL anexos estatales
16,MICHOACAN,2014,59.2473,14.0395,84.2365,,CONEVAL anexos estatales
16,MICHOACAN,2015,56.7049,11.1741,83.1126,,CONEVAL anexos estatales
16,MICHOACAN,2016,54.1625,8.3086,81.9888,,CONEVAL anexos estatales
16,MICHOACAN,2017,50.187,6.8122,80.5664,,CONEVAL anexos estatales
16,MICHOACAN,2018,46.2115,5.3158,79.1441,,CONEVAL anexos estatales
16,MICHOACAN,2019,45.3604,6.4518,78.7564,,CONEVAL anexos estatales
16,MICHOACAN,2020,44.5093,7.5878,78.3687,,CONEVAL anexos estatales
16,MICHOACAN,2021,43.1228,7.5569,78.2221,,CONEVAL anexos estatales
16,MICHOACAN,2022,41.7363,7.5261,78.0754,,CONEVAL anexos estatales
16,MICHOACAN,2023,41.7363,7.5261,78.0754,,CONEVAL anexos estatales
16,MICHOACAN,2024,41.7363,7.5261,78.0754,,CONEVAL anexos estatales
17,MORELOS,2010,43.2422,6.9343,76.8773,,CONEVAL anexos estatales
17,MORELOS,2011,44.3472,6.6241,77.1869,,CONEVAL anexos estatales
17,MORELOS,2012,45.4522,6.314,77.4965,,CONEVAL anexos estatales
17,MORELOS,2013,48.8621,7.0828,77.7559,,CONEVAL anexos estatales
17,MORELOS,2014,52.272,7.8517,78.0152,,CONEVAL anexos estatales
17,MORELOS,2015,49.4827,6.4751,75.5276,,CONEVAL anexos estatales
17,MORELOS,2016,46.6934,5.0986,73.0401,,CONEVAL anexos estatales
17,MORELOS,2017,47.6188,5.6339,75.1998,,CONEVAL anexos estatales
17,MORELOS,2018,48.5441,6.1693,77.3595,,CONEVAL anexos estatales
17,MORELOS,2019,49.745,7.3055,76.0088,,CONEVAL anexos estatales
17,MORELOS,2020,50.9458,8.4417,74.6581,,CONEVAL anexos estatales
17,MORELOS,2021,46.0008,7.1436,73.2783,,CONEVAL anexos estatales
17,MORELOS,2022,41.0559,5.8455,71.8985,,CONEVAL anexos estatales
17,MORELOS,2023,41.0559,5.8455,71.8985,,CONEVAL anexos estatales
17,MORELOS,2024,41.0559,5.8455,71.8985,,CONEVAL anexos estatales
18,NAYARIT,2010,41.3573,8.3102,74.7941,,CONEVAL anexos estatales
18,NAYARIT,2011,44.4913,10.1212,75.3149,,CONEVAL anexos estatales
18,NAYARIT,2012,47.6253,11.9322,75.8357,,CONEVAL anexos estatales
18,NAYARIT,2013,44.0643,10.1976,72.8928,,CONEVAL anexos estatales
18,NAYARIT,2014,40.5033,8.463,69.9498,,CONEVAL anexos estatales
18,NAYARIT,2015,39.3038,8.1068,68.7936,,CONEVAL anexos estatales
18,NAYARIT,2016,38.1043,7.7507,67.6373,,CONEVAL anexos estatales
18,NAYARIT,2017,36.9124,6.6634,67.5178,,CONEVAL anexos estatales
18,NAYARIT,2018,35.7205,5.5761,67.3984,,CONEVAL anexos estatales
18,NAYARIT,2019,33.063,4.6854,66.5895,,CONEVAL anexos estatales
18,NAYARIT,2020,30.4054,3.7947,65.7806,,CONEVAL anexos estatales
18,NAYARIT,2021,29.8593,5.112,66.2605,,CONEVAL anexos estatales
18,NAYARIT,2022,29.3132,6.4292,66.7404,,CONEVAL anexos estatales
18,NAYARIT,2023,29.3132,6.4292,66.7404,,CONEVAL anexos estatales
18,NAYARIT,2024,29.3132,6.4292,66.7404,,CONEVAL anexos estatales
19,NUEVO LEON,2010,21.0176,1.8258,52.6458,,CONEVAL anexos estatales
19,NUEVO LEON,2011,22.1322,2.1188,52.4958,,CONEVAL anexos estatales
19,NUEVO LEON,2012,23.2468,2.4117,52.3459,,CONEVAL anexos estatales
19,NUEVO LEON,2013,21.8065,1.8701,50.3624,,CONEVAL anexos estatales
19,NUEVO LEON,2014,20.3662,1.3285,48.379,,CONEVAL anexos estatales
19,NUEVO LEON,2015,19.6033,1.2956,47.6312,,CONEVAL anexos estatales
19,NUEVO LEON,2016,18.8403,1.2628,46.8834,,CONEVAL anexos estatales
19,NUEVO LEON,2017,19.1118,0.9986,45.8074,,CONEVAL anexos estatales
19,NUEVO LEON,2018,19.3833,0.7345,44.7314,,CONEVAL anexos estatales
19,NUEVO LEON,2019,21.8568,1.4246,46.7668,,CONEVAL anexos estatales
19,NUEVO LEON,2020,24.3304,2.1148,48.8023,,CONEVAL anexos estatales
19,NUEVO LEON,2021,20.1854,1.5933,46.6405,,CONEVAL anexos estatales
19,NUEVO LEON,2022,16.0404,1.0718,44.4788,,CONEVAL anexos estatales
19,NUEVO LEON,2023,16.0404,1.0718,44.4788,,CONEVAL anexos estatales
19,NUEVO LEON,2024,16.0404,1.0718,44.4788,,CONEVAL anexos estatales
20,OAXACA,2010,66.9874,29.2453,89.1669,,CONEVAL anexos estatales
20,OAXACA,2011,64.4624,26.2819,88.5837,,CONEVAL anexos estatales
20,OAXACA,2012,61.9374,23.3184,88.0004,,CONEVAL anexos estatales
20,OAXACA,2013,64.3437,25.8264,89.0058,,CONEVAL anexos estatales
20,OAXACA,2014,66.7501,28.3344,90.0112,,CONEVAL anexos estatales
20,OAXACA,2015,67.3639,26.2954,89.8896,,CONEVAL anexos estatales
20,OAXACA,2016,67.9776,24.2563,89.7679,,CONEVAL anexos estatales
20,OAXACA,2017,66.1568,22.9734,88.7502,,CONEVAL anexos estatales
20,OAXACA,2018,64.336,21.6905,87.7325,,CONEVAL anexos estatales
20,OAXACA,2019,63.0001,21.1689,87.3243,,CONEVAL anexos estatales
20,OAXACA,2020,61.6642,20.6473,86.916,,CONEVAL anexos estatales
20,OAXACA,2021,60.0523,20.4399,87.2672,,CONEVAL anexos estatales
20,OAXACA,2022,58.4403,20.2324,87.6184,,CONEVAL anexos estatales
20,OAXACA,2023,58.4403,20.2324,87.6184,,CONEVAL anexos estatales
20,OAXACA,2024,58.4403,20.2324,87.6184,,CONEVAL anexos estatales
21,PUEBLA,2010,61.4831,17.0312,83.0953,,CONEVAL anexos estatales
21,PUEBLA,2011,62.9767,17.3187,84.7622,,CONEVAL anexos estatales
21,PUEBLA,2012,64.4704,17.6062,86.4292,,CONEVAL anexos estatales
21,PUEBLA,2013,64.5037,16.8834,85.4069,,CONEVAL anexos estatales
21,PUEBLA,2014,64.537,16.1606,84.3846,,CONEVAL anexos estatales
21,PUEBLA,2015,61.3316,12.0592,82.2689,,CONEVAL anexos estatales
21,PUEBLA,2016,58.1261,7.9579,80.1533,,CONEVAL anexos estatales
21,PUEBLA,2017,58.0678,8.032,80.1796,,CONEVAL anexos estatales
21,PUEBLA,2018,58.0094,8.1062,80.206,,CONEVAL anexos estatales
21,PUEBLA,2019,60.2208,10.4247,80.2466,,CONEVAL anexos estatales
21,PUEBLA,2020,62.4321,12.7432,80.2873,,CONEVAL anexos estatales
21,PUEBLA,2021,58.2247,12.0724,79.6972,,CONEVAL anexos estatales
21,PUEBLA,2022,54.0173,11.4016,79.1071,,CONEVAL anexos estatales
21,PUEBLA,2023,54.0173,11.4016,79.1071,,CONEVAL anexos estatales
21,PUEBLA,2024,54.0173,11.4016,79.1071,,CONEVAL anexos estatales
22,QUERETARO,2010,41.4106,7.421,73.1507,,CONEVAL anexos estatales
22,QUERETARO,2011,39.1639,6.2861,71.3527,,CONEVAL anexos estatales
22,QUERETARO,2012,36.9171,5.1513,69.5548,,CONEVAL anexos estatales
22,QUERETARO,2013,35.5462,4.5007,68.4086,,CONEVAL anexos estatales
22,QUERETARO,2014,34.1753,3.8501,67.2624,,CONEVAL anexos estatales
22,QUERETARO,2015,31.9317,3.1786,64.1124,,CONEVAL anexos estatales
22,QUERETARO,2016,29.6881,2.5071,60.9625,,CONEVAL anexos estatales
22,QUERETARO,2017,28.0308,2.0878,61.0718,,CONEVAL anexos estatales
22,QUERETARO,2018,26.3735,1.6685,61.1811,,CONEVAL anexos estatales
22,QUERETARO,2019,28.8494,2.2896,61.5101,,CONEVAL anexos estatales
